block,SD,focal_daughters,focal_sons,rival_daughters,rival_sons,copies_of_SD,parent_with_SD,MotherHasSD,FatherHasSD,SD_from_mum,SD_from_dad,mum_genotype,dad_genotype,focal.male.fitness,rival.male.fitness,total,vial
1,SD-72,56,62,6,2,1,Father,0,1,No,Yes,wild_type,SD-72,118,8,126,58
1,SD-72,32,52,7,5,1,Father,0,1,No,Yes,wild_type,SD-72,84,12,96,59
1,SD-72,48,52,42,47,1,Father,0,1,No,Yes,wild_type,SD-72,100,89,189,60
1,SD-72,50,49,5,5,1,Father,0,1,No,Yes,wild_type,SD-72,99,10,109,61
1,SD-72,74,66,6,9,1,Father,0,1,No,Yes,wild_type,SD-72,140,15,155,62
1,SD-72,56,52,9,5,1,Father,0,1,No,Yes,wild_type,SD-72,108,14,122,63
1,SD-72,91,85,0,0,0,Father,0,1,No,No,wild_type,SD-72,176,0,176,64
1,SD-72,84,76,16,6,0,Father,0,1,No,No,wild_type,SD-72,160,22,182,65
1,SD-72,66,78,12,7,0,Father,0,1,No,No,wild_type,SD-72,144,19,163,66
1,SD-72,96,94,8,4,0,Father,0,1,No,No,wild_type,SD-72,190,12,202,67
1,SD-72,80,66,16,14,0,Father,0,1,No,No,wild_type,SD-72,146,30,176,68
1,SD-5,11,9,34,53,1,Mother,1,0,Yes,No,SD-5,wild_type,20,87,107,69
1,SD-5,26,28,32,34,1,Mother,1,0,Yes,No,SD-5,wild_type,54,66,120,70
1,SD-5,10,14,16,15,1,Mother,1,0,Yes,No,SD-5,wild_type,24,31,55,71
1,SD-5,22,18,46,50,1,Mother,1,0,Yes,No,SD-5,wild_type,40,96,136,72
1,SD-5,76,66,20,15,0,Mother,1,0,No,No,SD-5,wild_type,142,35,177,73
1,SD-5,32,28,28,30,0,Mother,1,0,No,No,SD-5,wild_type,60,58,118,74
1,SD-5,34,55,10,6,0,Mother,1,0,No,No,SD-5,wild_type,89,16,105,75
1,SD-5,76,34,0,0,0,Mother,1,0,No,No,SD-5,wild_type,110,0,110,76
1,SD-5,36,44,28,33,0,Mother,1,0,No,No,SD-5,wild_type,80,61,141,77
1,SD-5,62,62,0,0,0,Mother,1,0,No,No,SD-5,wild_type,124,0,124,78
1,SD-5,21,8,18,14,0,Mother,1,0,No,No,SD-5,wild_type,29,32,61,79
1,SD-5,62,60,18,22,0,Mother,1,0,No,No,SD-5,wild_type,122,40,162,80
1,SD-5,23,25,54,61,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,48,115,163,81
1,SD-5,14,14,89,71,1,Father,0,1,No,Yes,wild_type,SD-5,28,160,188,82
1,SD-5,0,0,44,56,1,Father,0,1,No,Yes,wild_type,SD-5,0,100,100,83
1,SD-5,0,1,28,46,1,Father,0,1,No,Yes,wild_type,SD-5,1,74,75,84
1,SD-5,11,3,75,57,1,Father,0,1,No,Yes,wild_type,SD-5,14,132,146,85
1,SD-5,3,1,52,46,1,Father,0,1,No,Yes,wild_type,SD-5,4,98,102,86
1,SD-5,43,53,23,23,0,Father,0,1,No,No,wild_type,SD-5,96,46,142,87
1,No SD chromosome,61,64,40,36,0,Neither parent,0,0,No,No,wild_type,wild_type,125,76,201,88
1,No SD chromosome,67,70,16,12,0,Neither parent,0,0,No,No,wild_type,wild_type,137,28,165,89
1,No SD chromosome,34,40,16,20,0,Neither parent,0,0,No,No,wild_type,wild_type,74,36,110,90
1,No SD chromosome,27,18,26,17,0,Neither parent,0,0,No,No,wild_type,wild_type,45,43,88,91
1,No SD chromosome,68,60,27,26,0,Neither parent,0,0,No,No,wild_type,wild_type,128,53,181,92
1,No SD chromosome,76,56,10,6,0,Neither parent,0,0,No,No,wild_type,wild_type,132,16,148,93
2,SD-Mad,68,52,11,9,1,Mother,1,0,Yes,No,SD-Mad,wild_type,120,20,140,94
2,SD-Mad,62,72,0,0,1,Mother,1,0,Yes,No,SD-Mad,wild_type,134,0,134,95
2,SD-Mad,60,63,0,0,1,Mother,1,0,Yes,No,SD-Mad,wild_type,123,0,123,96
2,SD-Mad,16,18,18,6,1,Mother,1,0,Yes,No,SD-Mad,wild_type,34,24,58,97
2,SD-Mad,25,32,0,0,1,Mother,1,0,Yes,No,SD-Mad,wild_type,57,0,57,98
2,SD-Mad,50,63,30,13,1,Mother,1,0,Yes,No,SD-Mad,wild_type,113,43,156,99
2,SD-Mad,19,18,4,3,1,Mother,1,0,Yes,No,SD-Mad,wild_type,37,7,44,100
2,SD-Mad,12,16,9,8,1,Mother,1,0,Yes,No,SD-Mad,wild_type,28,17,45,101
2,SD-Mad,43,37,7,11,0,Mother,1,0,No,No,SD-Mad,wild_type,80,18,98,102
2,SD-Mad,30,36,0,0,0,Mother,1,0,No,No,SD-Mad,wild_type,66,0,66,103
2,SD-Mad,37,30,19,4,0,Mother,1,0,No,No,SD-Mad,wild_type,67,23,90,104
2,SD-Mad,15,15,8,9,0,Mother,1,0,No,No,SD-Mad,wild_type,30,17,47,105
2,SD-Mad,22,21,8,14,0,Mother,1,0,No,No,SD-Mad,wild_type,43,22,65,106
2,SD-Mad,0,3,0,0,0,Mother,1,0,No,No,SD-Mad,wild_type,3,0,3,107
2,SD-Mad,0,1,17,17,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,1,34,35,108
2,SD-Mad,14,14,17,15,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,28,32,60,109
2,SD-Mad,2,5,37,40,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,7,77,84,110
2,SD-Mad,14,12,60,83,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,26,143,169,111
2,SD-Mad,9,3,40,45,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,12,85,97,112
2,SD-Mad,11,12,32,29,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,23,61,84,113
2,SD-Mad,0,0,22,16,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,0,38,38,114
2,SD-Mad,23,20,4,9,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,43,13,56,115
2,SD-Mad,26,26,12,12,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,52,24,76,116
2,SD-Mad,39,31,0,0,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,70,0,70,117
2,SD-Mad,50,47,7,6,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,97,13,110,118
2,SD-Mad,55,57,8,7,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,112,15,127,119
2,SD-Mad,56,51,0,0,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,107,0,107,120
2,SD-Mad,55,53,0,0,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,108,0,108,121
2,SD-Mad,68,72,1,1,0,Both parents,1,1,No,No,SD-Mad,SD-Mad,140,2,142,122
2,SD-Mad,15,27,0,0,1,Father,0,1,No,Yes,wild_type,SD-Mad,42,0,42,123
2,SD-Mad,22,23,3,4,1,Father,0,1,No,Yes,wild_type,SD-Mad,45,7,52,124
2,SD-Mad,28,31,0,0,1,Father,0,1,No,Yes,wild_type,SD-Mad,59,0,59,125
